1475 0.356 52 0.083 0.083
1480 0.357 52 0.082 0.082
1485 0.358 52 0.083 0.083
1490 0.359 52 0.085 0.085
1495 0.36 52 0.084 0.084
1500 0.361 52 0.084 0.084
1505 0.362 53 0.085 0.085
1510 0.362 52 0.085 0.085
1515 0.363 53 0.086 0.086
1520 0.363 53 0.09 0.09
1525 0.364 52 0.098 0.098
1530 0.364 53 0.101 0.101
1535 0.365 53 0.103 0.103
1540 0.365 54 0.105 0.105
1545 0.365 53 0.105 0.105
1550 0.366 53 0.106 0.106
1555 0.366 54 0.102 0.102
1560 0.366 54 0.096 0.096
1565 0.367 54 0.091 0.091
1570 0.367 54 0.093 0.093
1575 0.367 54 0.093 0.093
1580 0.367 54 0.094 0.094
1585 0.368 54 0.094 0.094
1590 0.368 54 0.094 0.094
1595 0.368 54 0.094 0.094
1600 0.369 54 0.091 0.091
1605 0.369 54 0.088 0.088
1610 0.369 54 0.082 0.082
1615 0.369 54 0.083 0.083
1620 0.37 54 0.082 0.082
1625 0.37 54 0.083 0.083
1630 0.37 53 0.084 0.084
1635 0.37 52 0.083 0.083
1640 0.371 52 0.081 0.081
1645 0.371 52 0.081 0.081
1650 0.371 53 0.081 0.081
1655 0.371 53 0.077 0.077
1660 0.372 54 0.078 0.078
1665 0.372 54 0.077 0.077
1670 0.372 53 0.068 0.068
1675 0.372 53 0.068 0.068
1680 0.373 52 0.068 0.068
1685 0.373 52 0.069 0.069
1690 0.373 52 0.069 0.069
1695 0.374 51 0.07 0.07
1700 0.374 52 0.071 0.071
1705 0.374 52 0.071 0.071
1710 0.374 51 0.065 0.065
1715 0.375 51 0.059 0.059
1720 0.375 51 0.061 0.061
1725 0.375 51 0.063 0.063
1730 0.376 51 0.067 0.067
1735 0.376 51 0.069 0.069
1740 0.376 52 0.07 0.07
1745 0.377 52 0.072 0.072
1750 0.377 52 0.077 0.077
1755 0.377 52 0.079 0.079
1760 0.378 53 0.079 0.079
1765 0.378 52 0.08 0.08
1770 0.378 52 0.079 0.079
1775 0.379 52 0.081 0.081
1780 0.379 52 0.081 0.081
1785 0.379 52 0.081 0.081
1790 0.38 52 0.079 0.079
1795 0.38 52 0.078 0.078
1800 0.38 52 0.078 0.078
1805 0.381 52 0.08 0.08
1810 0.381 53 0.083 0.083
1815 0.382 53 0.084 0.084
1820 0.382 54 0.083 0.083
1825 0.383 54 0.075 0.075
1830 0.383 54 0.075 0.075
